party_id,name,classification
LV-PARTY-B01,Fictional Owner B01,synthetic
LV-PARTY-B02,Fictional Owner B02,synthetic
LV-PARTY-B03,Fictional Owner B03,synthetic
LV-PARTY-B04,Fictional Owner B04,synthetic
LV-PARTY-B05,Fictional Owner B05,synthetic
LV-PARTY-B06,Fictional Owner B06,synthetic
LV-PARTY-B07,Fictional Owner B07,synthetic
LV-PARTY-B08,Fictional Owner B08,synthetic
LV-PARTY-B09,Fictional Owner B09,synthetic
LV-PARTY-B10,Fictional Owner B10,synthetic
LV-PARTY-B11,Fictional Owner B11,synthetic
LV-PARTY-B12,Fictional Owner B12,synthetic
LV-PARTY-B13,Fictional Owner B13,synthetic
LV-PARTY-B14,Fictional Owner B14,synthetic
LV-PARTY-B15,Fictional Owner B15,synthetic
LV-PARTY-B16,Fictional Owner B16,synthetic
LV-PARTY-B17,Fictional Owner B17,synthetic
LV-PARTY-B18,Fictional Owner B18,synthetic
LV-PARTY-B19,Fictional Owner B19,synthetic
LV-PARTY-B20,Fictional Owner B20,synthetic
LV-PARTY-B21,Fictional Owner B21,synthetic
LV-PARTY-B22,Fictional Owner B22,synthetic
LV-PARTY-B23,Fictional Owner B23,synthetic
LV-PARTY-B24,Fictional Owner B24,synthetic
LV-PARTY-B25,Fictional Owner B25,synthetic
LV-PARTY-B26,Fictional Owner B26,synthetic
LV-PARTY-B27,Fictional Owner B27,synthetic
LV-PARTY-B28,Fictional Owner B28,synthetic
LV-PARTY-B29,Fictional Owner B29,synthetic
LV-PARTY-B30,Fictional Owner B30,synthetic
LV-PARTY-B31,Fictional Owner B31,synthetic
LV-PARTY-B32,Fictional Owner B32,synthetic
LV-PARTY-B33,Fictional Owner B33,synthetic
LV-PARTY-B34,Fictional Owner B34,synthetic
LV-PARTY-B35,Fictional Owner B35,synthetic
LV-PARTY-B36,Fictional Owner B36,synthetic
LV-PARTY-B37,Fictional Owner B37,synthetic
LV-PARTY-B38,Fictional Owner B38,synthetic
LV-PARTY-B39,Fictional Owner B39,synthetic
LV-PARTY-B40,Fictional Owner B40,synthetic
LV-PARTY-B41,Fictional Owner B41,synthetic
LV-PARTY-B42,Fictional Owner B42,synthetic
LV-PARTY-B43,Fictional Owner B43,synthetic
LV-PARTY-B44,Fictional Owner B44,synthetic
LV-PARTY-B45,Fictional Owner B45,synthetic
LV-PARTY-B46,Fictional Owner B46,synthetic
LV-PARTY-B47,Fictional Owner B47,synthetic
LV-PARTY-B48,Fictional Owner B48,synthetic
LV-PARTY-B49,Fictional Owner B49,synthetic
LV-PARTY-B01-FB,Fictional Leaseholder B01-FB,synthetic
LV-PARTY-B01-F0,Fictional Leaseholder B01-F0,synthetic
LV-PARTY-B01-F1,Fictional Leaseholder B01-F1,synthetic
LV-PARTY-B01-F2,Fictional Leaseholder B01-F2,synthetic
LV-PARTY-B01-F3,Fictional Leaseholder B01-F3,synthetic
LV-PARTY-B01-F4,Fictional Leaseholder B01-F4,synthetic
LV-PARTY-B02-SHOWCASE-F0,Fictional Leaseholder B02-SHOWCASE-F0,synthetic
LV-PARTY-B02-SHOWCASE-F1,Fictional Leaseholder B02-SHOWCASE-F1,synthetic
LV-PARTY-B02-SHOWCASE-F2,Fictional Leaseholder B02-SHOWCASE-F2,synthetic
LV-PARTY-B02-SHOWCASE-F3,Fictional Leaseholder B02-SHOWCASE-F3,synthetic
LV-PARTY-B03-SHOWCASE-F0,Fictional Leaseholder B03-SHOWCASE-F0,synthetic
LV-PARTY-B03-SHOWCASE-F1,Fictional Leaseholder B03-SHOWCASE-F1,synthetic
LV-PARTY-B03-SHOWCASE-F2,Fictional Leaseholder B03-SHOWCASE-F2,synthetic
LV-PARTY-B03-SHOWCASE-F3,Fictional Leaseholder B03-SHOWCASE-F3,synthetic
LV-PARTY-B03-SHOWCASE-F4,Fictional Leaseholder B03-SHOWCASE-F4,synthetic
LV-PARTY-B04-SHOWCASE-F0,Fictional Leaseholder B04-SHOWCASE-F0,synthetic
LV-PARTY-B04-SHOWCASE-F1,Fictional Leaseholder B04-SHOWCASE-F1,synthetic
LV-PARTY-B04-SHOWCASE-F2,Fictional Leaseholder B04-SHOWCASE-F2,synthetic
LV-PARTY-B05-SHOWCASE-F0,Fictional Leaseholder B05-SHOWCASE-F0,synthetic
LV-PARTY-B05-SHOWCASE-F1,Fictional Leaseholder B05-SHOWCASE-F1,synthetic
LV-PARTY-B05-SHOWCASE-F2,Fictional Leaseholder B05-SHOWCASE-F2,synthetic
LV-PARTY-B05-SHOWCASE-F3,Fictional Leaseholder B05-SHOWCASE-F3,synthetic
LV-PARTY-B06-SHOWCASE-F0,Fictional Leaseholder B06-SHOWCASE-F0,synthetic
LV-PARTY-B06-SHOWCASE-F1,Fictional Leaseholder B06-SHOWCASE-F1,synthetic
LV-PARTY-B06-SHOWCASE-F2,Fictional Leaseholder B06-SHOWCASE-F2,synthetic
LV-PARTY-B06-SHOWCASE-F3,Fictional Leaseholder B06-SHOWCASE-F3,synthetic
LV-PARTY-B06-SHOWCASE-F4,Fictional Leaseholder B06-SHOWCASE-F4,synthetic
LV-PARTY-B07-SHOWCASE-F0,Fictional Leaseholder B07-SHOWCASE-F0,synthetic
LV-PARTY-B07-SHOWCASE-F1,Fictional Leaseholder B07-SHOWCASE-F1,synthetic
LV-PARTY-B07-SHOWCASE-F2,Fictional Leaseholder B07-SHOWCASE-F2,synthetic
LV-PARTY-B08-SHOWCASE-F0,Fictional Leaseholder B08-SHOWCASE-F0,synthetic
LV-PARTY-B08-SHOWCASE-F1,Fictional Leaseholder B08-SHOWCASE-F1,synthetic
LV-PARTY-B08-SHOWCASE-F2,Fictional Leaseholder B08-SHOWCASE-F2,synthetic
LV-PARTY-B08-SHOWCASE-F3,Fictional Leaseholder B08-SHOWCASE-F3,synthetic
LV-PARTY-B09-SHOWCASE-F0,Fictional Leaseholder B09-SHOWCASE-F0,synthetic
LV-PARTY-B09-SHOWCASE-F1,Fictional Leaseholder B09-SHOWCASE-F1,synthetic
LV-PARTY-B09-SHOWCASE-F2,Fictional Leaseholder B09-SHOWCASE-F2,synthetic
LV-PARTY-B09-SHOWCASE-F3,Fictional Leaseholder B09-SHOWCASE-F3,synthetic
LV-PARTY-B09-SHOWCASE-F4,Fictional Leaseholder B09-SHOWCASE-F4,synthetic
LV-PARTY-B10-SHOWCASE-F0,Fictional Leaseholder B10-SHOWCASE-F0,synthetic
LV-PARTY-B10-SHOWCASE-F1,Fictional Leaseholder B10-SHOWCASE-F1,synthetic
LV-PARTY-B10-SHOWCASE-F2,Fictional Leaseholder B10-SHOWCASE-F2,synthetic
LV-PARTY-B11-SHOWCASE-F0,Fictional Leaseholder B11-SHOWCASE-F0,synthetic
LV-PARTY-B11-SHOWCASE-F1,Fictional Leaseholder B11-SHOWCASE-F1,synthetic
LV-PARTY-B11-SHOWCASE-F2,Fictional Leaseholder B11-SHOWCASE-F2,synthetic
LV-PARTY-B11-SHOWCASE-F3,Fictional Leaseholder B11-SHOWCASE-F3,synthetic
LV-PARTY-B12-SHOWCASE-F0,Fictional Leaseholder B12-SHOWCASE-F0,synthetic
