building_id,unit_id,floor,net_area_m2,occupancy,occupant_fictional,rent_inr
"BLD-0001","BLD-0001/F0/U1","0","120.29","Owner occupied","Meera Arora","0"
"BLD-0001","BLD-0001/F0/U2","0","120.29","Vacant","Unoccupied","0"
"BLD-0001","BLD-0001/F1/U1","1","120.29","Rented","Nisha Anand","28000"
"BLD-0001","BLD-0001/F1/U2","1","120.29","Rented","Rohan Batra","16000"
"BLD-0001","BLD-0001/F2/U1","2","120.29","Rented","Tara Khanna","22000"
"BLD-0001","BLD-0001/F2/U2","2","120.29","Rented","Ishaan Verma","23000"
"BLD-0002","BLD-0002/F0/U1","0","113.97","Owner occupied","Ananya Rao","0"
"BLD-0002","BLD-0002/F0/U2","0","113.97","Rented","Diya Malhotra","18000"
"BLD-0002","BLD-0002/F1/U1","1","113.97","Rented","Arjun Sinha","19000"
"BLD-0002","BLD-0002/F1/U2","1","113.97","Rented","Aarav Mehta","28000"
"BLD-0002","BLD-0002/F2/U1","2","113.97","Rented","Arjun Sinha","24000"
"BLD-0002","BLD-0002/F2/U2","2","113.97","Vacant","Unoccupied","0"
"BLD-0003","BLD-0003/F0/U1","0","116.22","Owner occupied","Kavya Sethi","0"
"BLD-0003","BLD-0003/F0/U2","0","116.22","Rented","Ananya Rao","21000"
"BLD-0003","BLD-0003/F1/U1","1","116.22","Rented","Nisha Anand","20000"
"BLD-0003","BLD-0003/F1/U2","1","116.22","Rented","Meera Arora","12000"
"BLD-0003","BLD-0003/F2/U1","2","116.22","Rented","Vihaan Joshi","27000"
"BLD-0003","BLD-0003/F2/U2","2","116.22","Rented","Tara Khanna","17000"
"BLD-0004","BLD-0004/F0/U1","0","150.13","Owner occupied","Aarav Mehta","0"
"BLD-0004","BLD-0004/F0/U2","0","150.13","Vacant","Unoccupied","0"
"BLD-0004","BLD-0004/F1/U1","1","150.13","Rented","Ananya Rao","24000"
"BLD-0004","BLD-0004/F1/U2","1","150.13","Rented","Ananya Rao","15000"
"BLD-0004","BLD-0004/F2/U1","2","150.13","Vacant","Unoccupied","0"
"BLD-0004","BLD-0004/F2/U2","2","150.13","Rented","Ishaan Verma","22000"
"BLD-0004","BLD-0004/F3/U1","3","150.13","Rented","Meera Arora","17000"
"BLD-0004","BLD-0004/F3/U2","3","150.13","Rented","Meera Arora","12000"
"BLD-0005","BLD-0005/F0/U1","0","99.13","Owner occupied","Diya Malhotra","0"
"BLD-0005","BLD-0005/F0/U2","0","99.13","Rented","Kavya Sethi","26000"
"BLD-0005","BLD-0005/F1/U1","1","99.13","Rented","Rohan Batra","22000"
"BLD-0005","BLD-0005/F1/U2","1","99.13","Rented","Meera Arora","21000"
"BLD-0005","BLD-0005/F2/U1","2","99.13","Rented","Ananya Rao","19000"
"BLD-0005","BLD-0005/F2/U2","2","99.13","Rented","Neel Kapoor","28000"
"BLD-0006","BLD-0006/F0/U1","0","88.43","Owner occupied","Rohan Batra","0"
"BLD-0006","BLD-0006/F0/U2","0","88.43","Rented","Diya Malhotra","24000"
"BLD-0006","BLD-0006/F1/U1","1","88.43","Rented","Meera Arora","25000"
"BLD-0006","BLD-0006/F1/U2","1","88.43","Rented","Meera Arora","15000"
"BLD-0006","BLD-0006/F2/U1","2","88.43","Rented","Tara Khanna","17000"
"BLD-0006","BLD-0006/F2/U2","2","88.43","Rented","Diya Malhotra","14000"
"BLD-0006","BLD-0006/F3/U1","3","88.43","Rented","Meera Arora","23000"
"BLD-0006","BLD-0006/F3/U2","3","88.43","Rented","Arjun Sinha","12000"
"BLD-0007","BLD-0007/F0/U1","0","117.67","Owner occupied","Meera Arora","0"
"BLD-0007","BLD-0007/F0/U2","0","117.67","Rented","Rohan Batra","26000"
"BLD-0007","BLD-0007/F1/U1","1","117.67","Rented","Tara Khanna","21000"
"BLD-0007","BLD-0007/F1/U2","1","117.67","Vacant","Unoccupied","0"
"BLD-0007","BLD-0007/F2/U1","2","117.67","Rented","Nisha Anand","17000"
"BLD-0007","BLD-0007/F2/U2","2","117.67","Rented","Aarav Mehta","26000"
"BLD-0007","BLD-0007/F3/U1","3","117.67","Vacant","Unoccupied","0"
"BLD-0007","BLD-0007/F3/U2","3","117.67","Rented","Tara Khanna","15000"
"BLD-0007","BLD-0007/F4/U1","4","117.67","Rented","Kavya Sethi","17000"
"BLD-0007","BLD-0007/F4/U2","4","117.67","Rented","Ananya Rao","17000"
"BLD-0008","BLD-0008/F0/U1","0","120.29","Owner occupied","Diya Malhotra","0"
